"","test","data","power","num_obs","lambda1","lambda2","alpha","FC"
"99","t test","original",0.0475,20,1000,2000,100,1.1
"100","t test","rarefied",0.0425,20,1000,2000,100,1.1
"101","NB test","original",0.0575,100,1000,2000,100,1.1
"102","NB test","rarefied",0.055,100,1000,2000,100,1.1
"103","t test","original",0.0525,100,1000,2000,100,1.1
"104","t test","rarefied",0.0525,100,1000,2000,100,1.1
"105","NB test","original",0.07,20,1000,10000,100,1.1
"106","NB test","rarefied",0.09,20,1000,10000,100,1.1
"107","t test","original",0.05,20,1000,10000,100,1.1
"108","t test","rarefied",0.055,20,1000,10000,100,1.1
"109","NB test","original",0.06,100,1000,10000,100,1.1
"110","NB test","rarefied",0.0675,100,1000,10000,100,1.1
"111","t test","original",0.0625,100,1000,10000,100,1.1
"112","t test","rarefied",0.0575,100,1000,10000,100,1.1
"113","NB test","original",0.095,20,1000,2000,1000,1.1
"114","NB test","rarefied",0.12,20,1000,2000,1000,1.1
"115","t test","original",0.0875,20,1000,2000,1000,1.1
"116","t test","rarefied",0.0875,20,1000,2000,1000,1.1
"117","NB test","original",0.2025,100,1000,2000,1000,1.1
"118","NB test","rarefied",0.18,100,1000,2000,1000,1.1
"119","t test","original",0.205,100,1000,2000,1000,1.1
"120","t test","rarefied",0.1775,100,1000,2000,1000,1.1
"121","NB test","original",0.1125,20,1000,10000,1000,1.1
"122","NB test","rarefied",0.11,20,1000,10000,1000,1.1
"123","t test","original",0.105,20,1000,10000,1000,1.1
"124","t test","rarefied",0.0975,20,1000,10000,1000,1.1
"125","NB test","original",0.24,100,1000,10000,1000,1.1
"126","NB test","rarefied",0.195,100,1000,10000,1000,1.1
"127","t test","original",0.2425,100,1000,10000,1000,1.1
"128","t test","rarefied",0.19,100,1000,10000,1000,1.1
"129","NB test","original",0.1125,20,1000,2000,10000,1.1
"130","NB test","rarefied",0.1,20,1000,2000,10000,1.1
"131","t test","original",0.1125,20,1000,2000,10000,1.1
"132","t test","rarefied",0.095,20,1000,2000,10000,1.1
"133","NB test","original",0.3875,100,1000,2000,10000,1.1
"134","NB test","rarefied",0.3075,100,1000,2000,10000,1.1
"135","t test","original",0.4025,100,1000,2000,10000,1.1
"136","t test","rarefied",0.3075,100,1000,2000,10000,1.1
"137","NB test","original",0.135,20,1000,10000,10000,1.1
"138","NB test","rarefied",0.1125,20,1000,10000,10000,1.1
"139","t test","original",0.1475,20,1000,10000,10000,1.1
"140","t test","rarefied",0.1125,20,1000,10000,10000,1.1
