"","test","data","power","num_obs","lambda1","lambda2","alpha","FC"
"481","NB test","original",0.255,20,1000,2000,100,1.5
"482","NB test","rarefied",0.235,20,1000,2000,100,1.5
"483","t test","original",0.2175,20,1000,2000,100,1.5
"484","t test","rarefied",0.2075,20,1000,2000,100,1.5
"485","NB test","original",0.615,100,1000,2000,100,1.5
"486","NB test","rarefied",0.61,100,1000,2000,100,1.5
"487","t test","original",0.6075,100,1000,2000,100,1.5
"488","t test","rarefied",0.6,100,1000,2000,100,1.5
"489","NB test","original",0.2225,20,1000,10000,100,1.5
"490","NB test","rarefied",0.2125,20,1000,10000,100,1.5
"491","t test","original",0.17,20,1000,10000,100,1.5
"492","t test","rarefied",0.1725,20,1000,10000,100,1.5
"493","NB test","original",0.6175,100,1000,10000,100,1.5
"494","NB test","rarefied",0.5825,100,1000,10000,100,1.5
"495","t test","original",0.61,100,1000,10000,100,1.5
"496","t test","rarefied",0.5925,100,1000,10000,100,1.5
"497","NB test","original",0.7125,20,1000,2000,1000,1.5
"498","NB test","rarefied",0.64,20,1000,2000,1000,1.5
"499","t test","original",0.6925,20,1000,2000,1000,1.5
"500","t test","rarefied",0.6075,20,1000,2000,1000,1.5
"501","NB test","original",1,100,1000,2000,1000,1.5
"502","NB test","rarefied",0.995,100,1000,2000,1000,1.5
"503","t test","original",1,100,1000,2000,1000,1.5
"504","t test","rarefied",0.995,100,1000,2000,1000,1.5
"505","NB test","original",0.78,20,1000,10000,1000,1.5
"506","NB test","rarefied",0.6725,20,1000,10000,1000,1.5
"507","t test","original",0.77,20,1000,10000,1000,1.5
"508","t test","rarefied",0.6175,20,1000,10000,1000,1.5
"509","NB test","original",1,100,1000,10000,1000,1.5
"510","NB test","rarefied",0.9975,100,1000,10000,1000,1.5
"511","t test","original",0.9975,100,1000,10000,1000,1.5
"512","t test","rarefied",0.995,100,1000,10000,1000,1.5
"513","NB test","original",0.9475,20,1000,2000,10000,1.5
"514","NB test","rarefied",0.86,20,1000,2000,10000,1.5
"515","t test","original",0.94,20,1000,2000,10000,1.5
"516","t test","rarefied",0.8475,20,1000,2000,10000,1.5
"517","NB test","original",1,100,1000,2000,10000,1.5
"518","NB test","rarefied",1,100,1000,2000,10000,1.5
"519","t test","original",1,100,1000,2000,10000,1.5
"520","t test","rarefied",1,100,1000,2000,10000,1.5
"521","NB test","original",0.985,20,1000,10000,10000,1.5
"522","NB test","rarefied",0.84,20,1000,10000,10000,1.5
"523","t test","original",0.9725,20,1000,10000,10000,1.5
"524","t test","rarefied",0.835,20,1000,10000,10000,1.5
"525","NB test","original",1,100,1000,10000,10000,1.5
"526","NB test","rarefied",1,100,1000,10000,10000,1.5
"527","t test","original",1,100,1000,10000,10000,1.5
"528","t test","rarefied",1,100,1000,10000,10000,1.5
